# Name of the FOGGEI halo
# Name of the snapshot
# Redshift of snapshot
# Cosmological time of the snapshot (Gyr)
# Log of stellar mass (in Msun)
# Log of total metallicity (in Zsun)
# Log of the median of the metallicity distribution (in Zsun)
# Log of inter-quartile range of the distribution (75th - 25th percentile) (in Zsun)
# Fitted gradient of the radial profile, with uncertainty (in dex/kpc)
halo	output	redshift	time	log_mass	log_Ztotal	log_Z50	log_ZIQR	Zgrad
Squall	DD1297	0.73384064497289	7.182928600021804	10.564897006741136	0.03749732832985557	0.009199366523555394	0.22059198215582632	-0.101+/-0.007
Squall	DD1298	0.73285663613528	7.188307998584667	10.565609777715341	0.03878061193199029	0.010447383927285392	0.21071836761409007	-0.100+/-0.006
Squall	DD1299	0.7318739212385799	7.193687397147531	10.566432154603394	0.03923427323038908	0.012195652774589862	0.20639519895205197	-0.104+/-0.006
Squall	DD1300	0.73089249761562	7.199066795710392	10.567817110393902	0.0408673418118463	0.0158007655634755	0.21307085633249653	-0.106+/-0.006
Squall	DD1301	0.7299123626066899	7.204446194273255	10.570357656464326	0.04723136459357508	0.025875846340390408	0.22435109749255394	-0.101+/-0.005
Squall	DD1302	0.7289335135595401	7.209825592836117	10.572177127104323	0.05523654699224528	0.025159926621557083	0.25168288279331613	-0.096+/-0.005
Squall	DD1303	0.72795594782938	7.215204991398981	10.572711703465535	0.06043237859804665	0.023335687002083848	0.25250952532573123	-0.105+/-0.004
Squall	DD1304	0.72697966277879	7.220584389961842	10.573478639010636	0.061028292850123775	0.024906390758757942	0.2595773972094849	-0.1073+/-0.0034
Squall	DD1305	0.72600465577775	7.225963788524705	10.574208356531228	0.0612732044528988	0.01898944209794309	0.25871581518358644	-0.103+/-0.005
Squall	DD1306	0.72503092420359	7.231343187087567	10.574918243125317	0.06061758072967133	0.02086302926824277	0.26142143068891066	-0.098+/-0.005
Squall	DD1307	0.7240584654409801	7.23672258565043	10.575495439458157	0.06070480290972726	0.03022995080886295	0.24751444654946123	-0.0909+/-0.0035
Squall	DD1308	0.72308727688186	7.242101984213293	10.576009893353806	0.060645719425330286	0.035100280642119466	0.23106223261089334	-0.094+/-0.007
Squall	DD1309	0.72211735592548	7.247481382776155	10.576797830198188	0.060186925139235174	0.03826974741660682	0.21743568266796823	-0.098+/-0.007
